report_id,kind,company,stock_code,year,title,source_site,source_url,pdf_url,local_path,published_at,downloaded_at,sha256,file_size,pages,status,error,source_tier,source_type
annual_000977_2025,annual,浪潮信息,000977,2025,2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000977&announcementId=1225096638&orgId=gssz0000977&announcementTime=1775836800000,https://static.cninfo.com.cn/finalpage/2026-04-11/1225096638.PDF,data/raw_pdfs/annual/浪潮信息_2025年报.pdf,2026-04-11,2026-05-15T23:11:09+08:00,a292147237341c5918930d25497ec4db92af13b3991b71ecddea2740886931b0,8440116,186,downloaded,,1,company_annual_report
annual_603019_2025,annual,中科曙光,603019,2025,中科曙光2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=603019&announcementId=1225104539&orgId=9900023134&announcementTime=1776182400000,https://static.cninfo.com.cn/finalpage/2026-04-15/1225104539.PDF,data/raw_pdfs/annual/中科曙光_2025年报.pdf,2026-04-15,2026-05-15T23:11:10+08:00,96e0142fab587c141645fdb1ef411fc13ae3940bbb7c06eb3831f480d5af7241,1897948,227,downloaded,,1,company_annual_report
annual_601138_2025,annual,工业富联,601138,2025,富士康工业互联网股份有限公司2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=601138&announcementId=1225004420&orgId=9900036731&announcementTime=1773158400000,https://static.cninfo.com.cn/finalpage/2026-03-11/1225004420.PDF,data/raw_pdfs/annual/工业富联_2025年报.pdf,2026-03-11,2026-05-15T23:11:11+08:00,21939eda6d98778d2e5bf54cccf82f86d5dd7a127c2a86706bc78d075b19b567,1623666,270,downloaded,,1,company_annual_report
annual_300308_2025,annual,中际旭创,300308,2025,2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=300308&announcementId=1225056459&orgId=9900022016&announcementTime=1774886400000,https://static.cninfo.com.cn/finalpage/2026-03-31/1225056459.PDF,data/raw_pdfs/annual/中际旭创_2025年报.pdf,2026-03-31,2026-05-15T23:11:12+08:00,0290f380253dde79613d43a1c6203674ae36cb89f849f063668ccde9a8789b5e,6150814,229,downloaded,,1,company_annual_report
annual_300502_2025,annual,新易盛,300502,2025,2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=300502&announcementId=1225172598&orgId=9900026455&announcementTime=1776960000000,https://static.cninfo.com.cn/finalpage/2026-04-24/1225172598.PDF,data/raw_pdfs/annual/新易盛_2025年报.pdf,2026-04-24,2026-05-15T23:11:13+08:00,3432905a431a8254c2274c2188269e94cfc5a69e92c7d34332a5a3a7da8b15b6,2902416,170,downloaded,,1,company_annual_report
annual_300394_2025,annual,天孚通信,300394,2025,2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=300394&announcementId=1225082705&orgId=9900023911&announcementTime=1775577600000,https://static.cninfo.com.cn/finalpage/2026-04-08/1225082705.PDF,data/raw_pdfs/annual/天孚通信_2025年报.pdf,2026-04-08,2026-05-15T23:11:13+08:00,969e5142ee753b68e1f01c26e25215310d643dda43e4a25ae72bcc01f1265268,2317596,265,downloaded,,1,company_annual_report
annual_002837_2025,annual,英维克,002837,2025,2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=002837&announcementId=1225131813&orgId=9900029666&announcementTime=1776700800000,https://static.cninfo.com.cn/finalpage/2026-04-21/1225131813.PDF,data/raw_pdfs/annual/英维克_2025年报.pdf,2026-04-21,2026-05-15T23:11:14+08:00,2cbfc5dc8a60b01212b68d930fb06d0a25bd74563cd1942bd87161246c3a1472,5170591,196,downloaded,,1,company_annual_report
annual_301018_2025,annual,申菱环境,301018,2025,2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=301018&announcementId=1225181199&orgId=9900035574&announcementTime=1777219200000,https://static.cninfo.com.cn/finalpage/2026-04-27/1225181199.PDF,data/raw_pdfs/annual/申菱环境_2025年报.pdf,2026-04-27,2026-05-15T23:11:15+08:00,9f3e0616759471fab100a768b8cb67c7a6188d0287a5a5ab4c932596ac663e81,1113271,175,downloaded,,1,company_annual_report
annual_688256_2025,annual,寒武纪,688256,2025,2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=688256&announcementId=1225007336&orgId=nssc1000595&announcementTime=1773331200000,https://static.cninfo.com.cn/finalpage/2026-03-13/1225007336.PDF,data/raw_pdfs/annual/寒武纪_2025年报.pdf,2026-03-13,2026-05-15T23:11:16+08:00,e9360bfb6ad2d66ce7b65da15f8fa2fcdda9fde526e2a76dba3964327507f4ab,1531788,219,downloaded,,1,company_annual_report
annual_688041_2025,annual,海光信息,688041,2025,海光信息技术股份有限公司2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=688041&announcementId=1225083088&orgId=9900048365&announcementTime=1775577600000,https://static.cninfo.com.cn/finalpage/2026-04-08/1225083088.PDF,data/raw_pdfs/annual/海光信息_2025年报.pdf,2026-04-08,2026-05-15T23:11:16+08:00,abe3c5f80e80e2b6a56d243cfd502cccec715df783b7b9dcf95d3a84b1106c02,1953281,231,downloaded,,1,company_annual_report
research_AP202403141626724087,research,,,2024,AI服务器与光模块产业链专题,东方财富研报,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202403141626724087,https://pdf.dfcfw.com/pdf/H3_AP202403141626724087_1.pdf,data/raw_pdfs/research/AI算力产业链研报_01_公开研报_20240314_AI服务器与光模块产业链专题.pdf,2024-03-14,2026-05-15T23:12:16+08:00,ac2643cc1d37b2867f792de5c9d934f39d214bb0709fccd7ce19af46320e9d2c,4878178,55,downloaded,,2,broker_research_seed
research_seed_2,research,,,2024,国产算力系列专题报告：国产算力飞跃启新，AI引领产业链发展变革,长城证券,https://www.cgws.com/cczq/ggdt/ccyj/202406/t20240617_315123.html,https://www.cgws.com/cczq/ggdt/ccyj/202406/P020240617315123369639.pdf,data/raw_pdfs/research/AI算力产业链研报_02_长城证券_20240617_国产算力系列专题报告：国产算力飞跃启新，AI引领产业链发展变革.pdf,2024-06-17,2026-05-15T23:13:02+08:00,7c2dcbbef824644487eb0539e87dcf820c00e0c94e3dcc1e3894c63345f69c7b,4725062,63,downloaded,,2,broker_research_seed
research_AP202605101822123797,research,,,2026,北交所化工专题报告：AI算力散热革命-关注北交所液冷产业链，三祥科技/利通科技/科隆新材等软管标的,东方财富研报,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202605101822123797,https://pdf.dfcfw.com/pdf/H3_AP202605101822123797_1.pdf,data/raw_pdfs/research/AI算力产业链研报_03_开源证券_20260510_北交所化工专题报告：AI算力散热革命-关注北交所液冷产业链，三祥科技_利.pdf,2026-05-10,2026-05-15T23:13:06+08:00,7ea5f3c5690041193bf1b46da7c5ad8b25457d3dd9cd1e639170e89b0c32ba35,2318225,20,downloaded,,2,broker_research
research_AP202502091642912986,research,,,2025,计算机行业专题研究：DeepSeek算力告急，利好AI应用+AI算力产业链,东方财富研报,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202502091642912986,https://pdf.dfcfw.com/pdf/H3_AP202502091642912986_1.pdf,data/raw_pdfs/research/AI算力产业链研报_04_公开研报_20250209_计算机行业专题研究：DeepSeek算力告急，利好AI应用+AI算力产业.pdf,2025-02-09,2026-05-15T23:13:07+08:00,e9186ee4149eae40acf4621b66ca93483d13d5230cd4b5013269f8cac767e7dd,1274750,15,downloaded,,2,broker_research_seed
research_AP202507161709977534,research,,,2025,AI产业链业绩兑现，算力投资空间广阔,东方财富研报,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202507161709977534,https://pdf.dfcfw.com/pdf/H3_AP202507161709977534_1.pdf,data/raw_pdfs/research/AI算力产业链研报_05_公开研报_20250716_AI产业链业绩兑现，算力投资空间广阔.pdf,2025-07-16,2026-05-15T23:13:08+08:00,2fac73105c5d674fc9bdd25b18228c5803e976c30c255c99ff4c08640afb11e9,1385344,12,downloaded,,2,broker_research_seed
annual_000938_2025,annual,紫光股份,000938,2025,2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000938&announcementId=1225101866&orgId=gssz0000938&announcementTime=1776182400000,https://static.cninfo.com.cn/finalpage/2026-04-15/1225101866.PDF,data/raw_pdfs/annual/紫光股份_2025年报.pdf,2026-04-15,2026-05-15T23:11:21+08:00,2ffcd21150d98d8582b3cda68a368e70eaf17625e8ba2881a9ed30d7654aac5a,7594651,251,downloaded,,1,company_annual_report
annual_301165_2025,annual,锐捷网络,301165,2025,2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=301165&announcementId=1225040067&orgId=nssc1000760&announcementTime=1774627200000,https://static.cninfo.com.cn/finalpage/2026-03-28/1225040067.PDF,data/raw_pdfs/annual/锐捷网络_2025年报.pdf,2026-03-28,2026-05-15T23:11:22+08:00,2758f61c7a467681c620157ec92b4964ad9cf042a7e693f4c2dc3f29735fb1b9,5177494,195,downloaded,,1,company_annual_report
annual_002463_2025,annual,沪电股份,002463,2025,2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=002463&announcementId=1225027832&orgId=9900013929&announcementTime=1774368000000,https://static.cninfo.com.cn/finalpage/2026-03-25/1225027832.PDF,data/raw_pdfs/annual/沪电股份_2025年报.pdf,2026-03-25,2026-05-15T23:11:24+08:00,9810736ee50d0fa7f4d8e8370e3965bde8e24c6dbafb86593ae2206b0e2f2f15,4997019,196,downloaded,,1,company_annual_report
annual_002916_2025,annual,深南电路,002916,2025,2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=002916&announcementId=1225006760&orgId=9900022488&announcementTime=1773331200000,https://static.cninfo.com.cn/finalpage/2026-03-13/1225006760.PDF,data/raw_pdfs/annual/深南电路_2025年报.pdf,2026-03-13,2026-05-15T23:11:25+08:00,80c2d67323e64875eb80d7f13603930bc0a5087631ebbd66f14c109bada627d9,4491025,200,downloaded,,1,company_annual_report
annual_600183_2025,annual,生益科技,600183,2025,生益科技2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600183&announcementId=1225195409&orgId=gssh0600183&announcementTime=1777046400000,https://static.cninfo.com.cn/finalpage/2026-04-25/1225195409.PDF,data/raw_pdfs/annual/生益科技_2025年报.pdf,2026-04-25,2026-05-15T23:11:25+08:00,cf39d9c7014358ef47ff0e38d3ae91cb9827c22432309b501165eafa95f00435,1799800,235,downloaded,,1,company_annual_report
annual_300476_2025,annual,胜宏科技,300476,2025,2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=300476&announcementId=1225007455&orgId=9900024582&announcementTime=1773331200000,https://static.cninfo.com.cn/finalpage/2026-03-13/1225007455.PDF,data/raw_pdfs/annual/胜宏科技_2025年报.pdf,2026-03-13,2026-05-15T23:11:26+08:00,2d13d1746e8a6fda8960201f8d5dc759de19f650d2b5db4a5c8082d5df197099,1841498,230,downloaded,,1,company_annual_report
annual_002281_2025,annual,光迅科技,002281,2025,2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=002281&announcementId=1225148212&orgId=9900007888&announcementTime=1776873600000,https://static.cninfo.com.cn/finalpage/2026-04-23/1225148212.PDF,data/raw_pdfs/annual/光迅科技_2025年报.pdf,2026-04-23,2026-05-15T23:11:27+08:00,8363cd690d29f4d6f913339f9dc7a70b7bc14f260f0140175c5cb45593053869,1515825,167,downloaded,,1,company_annual_report
